0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-5.9239926,-0.41698354,-0.82329845,-9.401445,0.9167428,-0.7680657,0.19891204,0.49886307,3.3546662,0.55333346,11.09824,0.39020672,-0.8769899,-1.1638004,0.4615225,0.49967304
-6.510637,0.8708396,-1.2326019,-8.9133415,-0.6790027,-0.11403845,0.34211117,-0.47560632,4.415929,0.90809363,9.008644,0.64643866,-1.5212086,-0.4878927,-1.4695332,0.40905735
-7.767383,-0.3833355,-0.32373348,-3.7596397,0.4484496,-0.43649787,-0.26792732,-0.40541825,4.4160933,5.2977405,6.460221,0.41547668,-0.96914285,-0.3570852,0.25866446,0.54212624
-7.876324,-0.9037796,-0.61544317,-7.727197,0.22564732,-1.1499876,-0.5660601,0.48138136,7.535603,0.19025537,-0.03931104,-1.1919624,0.22363716,-3.745923,0.45881054,0.5882576
-8.786418,-0.46083874,-0.88039416,-3.223912,0.73873836,-0.50508726,-0.19248407,-0.93521476,1.7338402,7.6993375,2.2531662,0.52534974,-1.2082441,-0.8748389,-0.16661851,2.4626143
-2.1631782,-0.70611525,-0.22247975,-12.931386,0.3454255,-1.2853353,-0.065398455,0.30184913,4.0128984,0.65373206,0.79378253,0.26337007,-0.6823621,0.6524997,0.1660454,-0.17974505
-6.926932,-0.62269497,0.31610617,-2.9398263,0.89765394,-2.2833626,0.86610174,-0.4964958,3.5693073,-0.17252947,1.5460926,0.0027239353,-1.6092751,0.554792,0.16973288,-0.21341895
-1.2724605,0.11017612,0.6519384,-6.8943405,1.4644103,-0.6824207,-0.99506575,-1.1902363,4.110668,1.4048134,0.021681353,-0.24349436,-1.3988508,-2.2467186,0.3435436,-0.50014484
-7.2916994,-0.78713244,-0.53435475,-3.0403664,1.69791,0.025526054,0.21645091,0.42600593,4.3392057,2.4036717,1.8939698,0.31137902,-0.038775474,-0.31303033,-0.59286726,0.75612897
-2.5313265,0.019901808,0.5431406,-8.423803,0.58005244,-0.3812181,0.04236247,-0.094872996,6.4614577,-0.56836694,2.5788925,0.18842661,-0.577127,0.044292793,0.13690828,0.18800707
