0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.03567526,-0.3242548,0.04120767,-0.26594767,0.22151904,-0.12655798,-0.3448044,0.026360381,-0.09718235,-0.16839728,0.47966433,0.15605333,-0.46374312,0.17443506,0.18983836,0.0018359562
0.17707767,0.21231285,-0.0953017,-0.17132042,0.37910965,-0.04575274,-0.09238312,-0.30117825,-0.122892246,0.45319325,0.12647985,-0.571117,-0.116300836,0.04814152,-0.10132701,0.03379949
0.12576284,-0.12974943,-0.034232274,0.24963103,-0.3544875,-0.055136204,-0.10657842,-0.5227102,0.25860614,0.16151674,-0.22110252,-0.22216924,0.23435465,0.026078876,0.016325692,0.3787741
0.11442281,0.09683043,-0.15202744,0.4771017,-0.31675488,0.12433853,0.12662728,-0.2818832,0.27962875,0.12845972,-0.3889909,-0.24226521,0.30395326,-0.07744603,0.03969429,0.26333195
0.12998137,0.38581333,-0.14675292,0.26167616,-0.063418545,0.14036837,0.3060271,-0.051919047,0.104232945,0.27366117,-0.39002424,-0.3399963,0.4005085,-0.17063563,-0.16589542,-0.057998307
0.008044815,0.22213405,-0.1318435,0.36416554,-0.27886635,0.17233445,0.35162014,0.27229917,0.1777568,-0.083841726,-0.37885818,0.09699291,0.41528535,-0.20473485,-0.054909848,-0.11967863
-0.14477877,0.14346632,0.08097078,-0.08208414,-0.10993763,0.0866762,0.29355407,0.48504364,-0.11983326,-0.2594029,-0.22234784,0.39516062,0.20766678,-0.18280794,-0.13637549,-0.34099087
-0.16189419,-0.37575683,0.15082194,-0.26042074,0.057697922,-0.12925941,-0.2442207,0.15736979,-0.11050415,-0.3467675,0.33849248,0.41950127,-0.35955462,0.14280857,0.16926734,-0.0045679556
0.09340126,0.43203118,-0.10285953,0.07829433,0.09154773,0.10643432,0.30031088,0.013881841,-0.042022098,0.3204062,-0.34362197,-0.34817803,0.34416768,-0.17746,-0.21635395,-0.13758123
-0.15558533,-0.2689007,0.025961572,0.28772852,-0.41397548,0.042092662,0.03395156,0.13490789,0.19339578,-0.46797094,-0.12837373,0.48386136,0.06630761,-0.004444308,0.17752314,0.1074466
-0.13518867,-0.024902975,0.14472744,-0.4747938,0.39971808,-0.08302546,-0.10659949,0.33583882,-0.33924073,-0.10798772,0.31104758,0.1890661,-0.2776874,0.018370196,-0.0328703,-0.27209425
0.117379345,-0.072759256,-0.019948062,-0.34787554,0.1040152,-0.0606657,-0.077214986,-0.17250487,-0.00010644842,-0.03158865,0.54559827,0.14019,-0.107264236,0.13535768,-0.19820464,-0.4844259
0.03966282,-0.14839116,0.20778261,-0.25421807,0.0032695974,-0.18008867,-0.26607946,-0.5713727,0.054317784,0.31501663,0.2141662,-0.2808571,0.00017538757,0.20401172,-0.087817416,0.15348096
0.1292194,0.28563583,-0.17802478,0.4048923,-0.23050906,0.1619649,0.28583777,-0.09088744,0.21119274,0.15601692,-0.41216817,-0.25307044,0.40085292,-0.1684235,-0.07977938,0.030345287
-0.17948636,-0.26505774,0.21162277,-0.40919474,0.22208166,-0.1354327,-0.2025485,0.24763314,-0.26330394,-0.20962653,0.30634218,0.34772572,-0.31334358,0.13603957,0.06315262,-0.11803211
-0.26276594,-0.23270938,0.179287,-0.27895653,0.111585215,-0.07299555,-0.07147102,0.42535833,-0.19870245,-0.35829815,0.18086012,0.47424632,-0.22951698,0.00771136,0.10832876,-0.13261177
0.073032685,-0.39438805,-0.031580027,0.08600097,-0.13365626,-0.085042976,-0.34434605,-0.38530296,0.18085727,-0.109615594,0.30470175,0.032481596,-0.2974826,0.21180478,0.24189623,0.28296748
0.048197754,0.055436376,-0.12769212,0.52381253,-0.43490192,0.13131072,0.19653401,-0.08521987,0.30619726,-0.038123064,-0.39871112,-0.012864495,0.35350773,-0.09959875,0.048101705,0.1764799
0.04757249,-0.0053020343,0.0073570814,-0.41222718,0.47088018,-0.11185591,-0.2356759,-0.01919271,-0.23023865,0.1446792,0.4138471,-0.18463986,-0.36093614,0.091188446,-0.013117196,-0.14678021
-0.07126382,0.2543235,0.10414195,-0.46058345,0.5069977,-0.067298196,-0.011989811,0.17803903,-0.38304406,0.22105223,0.10894556,-0.2189223,-0.09671192,-0.06563037,-0.18155643,-0.22896592
